publisher_id,publisher_name,contact_name,phone,email,address,country,website
16,Pearson Education,Book Distribution,+44-20-8049-150,editorial@pearson.com,"421 70th Avenue, Book House, London",United Kingdom,https://www.pearson.com
17,Pearson/Prentice Hall,Book Distribution,+44-20-6391-126,info@pearson.com,"792 65th Avenue, Book House, Oxford",United Kingdom,https://www.pearson.com
18,Prentice-Hall,Sales Department,+1-415-681-6825,service@pearson.com,"630 74th Avenue, Publishing Center, Upper Saddle River, NJ",United States,https://www.pearson.com
19,Jones & Bartlett Publishers,Book Distribution,+1-202-353-3270,rights@jblearning.com,"257 30th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.jblearning.com
20,Computer Science Press,Customer Service,+1-202-645-7699,sales@computer-science-press.com,"376 2th Avenue, Publishing Center, Chicago, IL",United States,https://www.computer-science-press.com
21,Chartwell-Bratt,Book Distribution,+1-212-621-8990,rights@chartwell-bratt.com,"987 75th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.chartwell-bratt.com
22,MIT Press,Rights Department,+1-201-740-6210,rights@mitpress.mit.edu,"305 64th Avenue, Publishing Center, Hoboken, NJ",United States,https://mitpress.mit.edu
23,Wiley,General Enquiries,+1-415-901-8927,service@wiley.com,"767 78th Avenue, Publishing Center, Upper Saddle River, NJ",United States,https://www.wiley.com
24,The MIT Press,Publishing Office,+1-617-987-5716,info@mitpress.mit.edu,"787 5th Avenue, Publishing Center, New York, NY",United States,https://mitpress.mit.edu
25,Taylor & Francis Group,Editorial Department,+44-20-5232-272,rights@taylorfrancis.com,"898 12th Avenue, Book House, Cambridge",United Kingdom,https://www.taylorfrancis.com
26,"Wiley & Sons, Limited, John",Publishing Office,+1-617-782-4836,rights@wiley.com,"323 1th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.wiley.com
27,Willy,Customer Service,+1-617-175-0515,service@willy.com,"209 71th Avenue, Publishing Center, Upper Saddle River, NJ",United States,https://www.willy.com
28,Wydawnictwo Helion,Publishing Office,+48-22-692-607,editorial@helion.pl,"154 42th Avenue, Wydawnictwo Office, Gliwice",Poland,https://helion.pl
29,Oxford University Press India,Rights Department,+44-20-1862-378,rights@oup.com,"194 61th Avenue, Book House, Basingstoke",United Kingdom,https://global.oup.com
30,"Franklin, Beedle & Associates, Incorporated",Publishing Office,+1-617-936-1940,rights@fbeedle.com,"245 43th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.fbeedle.com
31,Shroff Publishers & Distributors Pvt. Ltd.,General Enquiries,+91-11-5460-743,contact@shroffpublishers.com,"641 60th Avenue, Publishing House, Chennai",India,https://www.shroffpublishers.com
32,Independently Published,Editorial Department,+1-617-134-1680,rights@kdp.amazon.com,"940 60th Avenue, Publishing Center, Hoboken, NJ",United States,https://kdp.amazon.com
33,Platinum Press LLC,Rights Department,+1-617-986-8738,info@platinum-press-llc.com,"908 60th Avenue, Publishing Center, New York, NY",United States,https://www.platinum-press-llc.com
34,Createspace Independent Publishing Platform,General Enquiries,+1-212-855-4503,service@amazon.com,"879 64th Avenue, Publishing Center, Upper Saddle River, NJ",United States,https://www.amazon.com
35,CreateSpace Independent Publishing Platform,Academic Sales,+1-201-179-2069,sales@amazon.com,"961 35th Avenue, Publishing Center, Chicago, IL",United States,https://www.amazon.com
36,PEARSON INDIA,Book Distribution,+44-20-5404-390,info@pearson.com,"846 31th Avenue, Book House, London",United Kingdom,https://www.pearson.com
37,Jones and Bartlett Publishers,General Enquiries,+1-646-793-8311,contact@jblearning.com,"118 61th Avenue, Publishing Center, Boston, MA",United States,https://www.jblearning.com
38,"Murach & Associates, Incorporated, Mike",Editorial Department,+1-617-537-9832,info@murach.com,"183 19th Avenue, Publishing Center, New York, NY",United States,https://www.murach.com
39,"O'Reilly Media, Incorporated",Academic Sales,+1-646-194-3141,contact@oreilly.com,"781 41th Avenue, Publishing Center, Boston, MA",United States,https://www.oreilly.com
40,Michael Knapp,Editorial Department,+1-646-484-3248,editorial@michael-knapp.com,"575 25th Avenue, Publishing Center, San Francisco, CA",United States,https://www.michael-knapp.com
41,Murach Books,Rights Department,+1-617-514-9738,info@murach.com,"359 76th Avenue, Publishing Center, New York, NY",United States,https://www.murach.com
42,Norton,Academic Sales,+1-617-658-0085,contact@wwnorton.com,"131 6th Avenue, Publishing Center, Boston, MA",United States,https://wwnorton.com
43,Summit Press,General Enquiries,+1-202-395-4863,contact@mitpress.mit.edu,"465 31th Avenue, Publishing Center, Boston, MA",United States,https://mitpress.mit.edu
44,Brand: CreateSpace Independent Publishing Platform,Customer Service,+1-202-853-5707,contact@amazon.com,"119 73th Avenue, Publishing Center, Boston, MA",United States,https://www.amazon.com
45,Gallimard,General Enquiries,+33-1-33-51-85-5,service@gallimard.fr,"214 63th Avenue, Éditions Office, Marseille",France,https://www.gallimard.fr
46,New American Library,Editorial Department,+1-312-289-6992,editorial@new-american-library.com,"169 13th Avenue, Publishing Center, San Francisco, CA",United States,https://www.new-american-library.com
47,Young Readers' Classics,Editorial Department,+1-646-649-9920,editorial@young-readers-classics.com,"791 24th Avenue, Publishing Center, San Francisco, CA",United States,https://www.young-readers-classics.com
48,Nasionale Boekhandel,Sales Department,+27-21-631-962,contact@nb.co.za,"208 25th Avenue, Publishing House, Johannesburg",South Africa,https://www.nb.co.za
49,Classic Books Library,Rights Department,+1-201-179-3962,info@classic-books-library.com,"858 5th Avenue, Publishing Center, New York, NY",United States,https://www.classic-books-library.com
50,Artemis-verlag,Customer Service,+1-312-898-4371,sales@artemis-verlag.com,"506 17th Avenue, Publishing Center, Chicago, IL",United States,https://www.artemis-verlag.com
51,Whitman,Rights Department,+1-202-108-8402,rights@whitman.com,"415 25th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.whitman.com
52,Oxford University Press,Editorial Department,+44-20-2869-744,info@oup.com,"897 63th Avenue, Book House, Abingdon",United Kingdom,https://global.oup.com
53,A. L. Burt Co.,Sales Department,+1-202-742-6137,service@a-l-burt-co.com,"174 55th Avenue, Publishing Center, Upper Saddle River, NJ",United States,https://www.a-l-burt-co.com
54,Cooper Square Pub,Book Distribution,+1-646-525-0974,rights@cooper-square-pub.com,"526 79th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.cooper-square-pub.com
55,Clarendon Press,Rights Department,+1-617-794-9770,info@clarendon-press.com,"555 43th Avenue, Publishing Center, New York, NY",United States,https://www.clarendon-press.com
56,Mybook,Book Distribution,+1-312-180-6758,rights@mybook.com,"135 33th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.mybook.com
57,Routledge,Rights Department,+44-20-4314-666,editorial@routledge.com,"678 34th Avenue, Book House, Oxford",United Kingdom,https://www.routledge.com
58,"Holt, Rinehart, and Winston",Book Distribution,+1-212-423-5910,editorial@holt-rinehart-and-winston.com,"744 10th Avenue, Publishing Center, San Francisco, CA",United States,https://www.holt-rinehart-and-winston.com
59,"Norton & Company Limited, W. W.",Book Distribution,+1-617-413-0494,info@wwnorton.com,"942 61th Avenue, Publishing Center, New York, NY",United States,https://wwnorton.com
60,W.W. Norton,Book Distribution,+1-202-801-6198,editorial@wwnorton.com,"877 11th Avenue, Publishing Center, San Francisco, CA",United States,https://wwnorton.com
61,W.W. Norton & Co.,Rights Department,+1-212-877-1922,editorial@wwnorton.com,"159 33th Avenue, Publishing Center, San Francisco, CA",United States,https://wwnorton.com
62,Bedford/St. Martin's,Academic Sales,+1-201-534-6221,contact@bedford-st-martin-s.com,"679 17th Avenue, Publishing Center, Boston, MA",United States,https://www.bedford-st-martin-s.com
63,"Holt, Rinehart and Winston",Publishing Office,+1-202-750-6100,info@holt-rinehart-and-winston.com,"600 15th Avenue, Publishing Center, New York, NY",United States,https://www.holt-rinehart-and-winston.com
64,Bantam Books,Customer Service,+1-201-842-3475,service@bantam-books.com,"945 63th Avenue, Publishing Center, Upper Saddle River, NJ",United States,https://www.bantam-books.com
65,Bange C. GmbH,Book Distribution,+1-415-587-4710,rights@bange-c-gmbh.com,"555 70th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.bange-c-gmbh.com
66,American Guidance Services Inc.,General Enquiries,+1-415-312-4495,sales@american-guidance-services-inc.com,"765 79th Avenue, Publishing Center, Chicago, IL",United States,https://www.american-guidance-services-inc.com
67,Princeton University Press,General Enquiries,+1-201-560-1095,contact@press.princeton.edu,"977 63th Avenue, Publishing Center, Boston, MA",United States,https://press.princeton.edu
68,"Little, Brown Book Group Limited",Academic Sales,+44-20-3449-653,sales@littlebrown.co.uk,"760 47th Avenue, Book House, Basingstoke",United Kingdom,https://www.littlebrown.co.uk
69,W W Norton & Co Inc,General Enquiries,+1-617-813-7007,contact@wwnorton.com,"398 54th Avenue, Publishing Center, Boston, MA",United States,https://wwnorton.com
70,National Textbook Company,Sales Department,+1-201-392-1193,sales@national-textbook-company.com,"337 62th Avenue, Publishing Center, Chicago, IL",United States,https://www.national-textbook-company.com
71,W W Norton & Co Inc (Np),General Enquiries,+1-201-276-8039,contact@wwnorton.com,"289 38th Avenue, Publishing Center, Boston, MA",United States,https://wwnorton.com
72,Papermac,Editorial Department,+1-202-933-7280,rights@papermac.com,"120 38th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.papermac.com
73,Prentice Hall,Editorial Department,+1-617-864-1392,editorial@pearson.com,"867 23th Avenue, Publishing Center, San Francisco, CA",United States,https://www.pearson.com
74,HarperCollins Publishers,Academic Sales,+1-212-826-7469,service@harpercollins.com,"597 58th Avenue, Publishing Center, Upper Saddle River, NJ",United States,https://www.harpercollins.com
75,Holt Rinehart & Winston,Publishing Office,+1-646-778-6996,info@holt-rinehart-and-winston.com,"132 33th Avenue, Publishing Center, New York, NY",United States,https://www.holt-rinehart-and-winston.com
76,Babblebooks,Rights Department,+1-201-568-7130,editorial@babblebooks.com,"775 45th Avenue, Publishing Center, San Francisco, CA",United States,https://www.babblebooks.com
77,Simon & Schuster,Sales Department,+1-312-523-0481,contact@simonandschuster.com,"375 29th Avenue, Publishing Center, Boston, MA",United States,https://www.simonandschuster.com
78,Cengage Gale,Publishing Office,+1-202-951-5484,editorial@cengage.com,"732 73th Avenue, Publishing Center, San Francisco, CA",United States,https://www.cengage.com
79,PIATKUS,Book Distribution,+1-415-990-9406,info@piatkus.com,"296 15th Avenue, Publishing Center, New York, NY",United States,https://www.piatkus.com
80,"Scholastic Canada, Limited",Book Distribution,+1-202-755-4478,info@scholastic.ca,"953 39th Avenue, Publishing Office, Toronto, ON",Canada,https://www.scholastic.ca
81,Simon & Schuster Audio and Blackstone Publishing,Editorial Department,+1-201-453-0288,editorial@simonandschuster.com,"653 18th Avenue, Publishing Center, San Francisco, CA",United States,https://www.simonandschuster.com
82,Random House Mondadori,Book Distribution,+1-646-269-3454,editorial@penguinrandomhouse.com,"480 18th Avenue, Publishing Center, San Francisco, CA",United States,https://www.penguinrandomhouse.com
83,Alianza Editorial Sa,Academic Sales,+34-91-524-974,contact@alianzaeditorial.es,"355 1th Avenue, Editorial Office, Barcelona",Spain,https://www.alianzaeditorial.es
84,Take university press,Customer Service,+1-201-495-6643,sales@take-university-press.com,"493 1th Avenue, Publishing Center, Chicago, IL",United States,https://www.take-university-press.com
85,Quetzal,Academic Sales,+351-21-103-850,service@quetzaleditores.pt,"694 9th Avenue, Editora Office, Coimbra",Portugal,https://www.quetzaleditores.pt
86,RBA,Rights Department,+34-91-405-745,info@rba.es,"160 18th Avenue, Editorial Office, Madrid",Spain,https://www.rba.es
87,VINTAGE,Editorial Department,+1-312-733-8152,rights@vintage.com,"884 24th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.vintage.com
88,Ecco,Rights Department,+1-202-410-0882,rights@ecco.com,"864 16th Avenue, Publishing Center, Hoboken, NJ",United States,https://www.ecco.com
89,HarperCollins Publishers Australia,Publishing Office,+1-312-379-4004,editorial@harpercollins.com,"375 25th Avenue, Publishing Center, San Francisco, CA",United States,https://www.harpercollins.com
90,AST,General Enquiries,+7-495-424-0463,contact@ast.ru,"612 29th Avenue, Publishing House, Saint Petersburg",Russia,https://ast.ru
91,Galera Record,Book Distribution,+55-11-9204-534,editorial@record.com.br,"434 43th Avenue, Editora Office, Porto Alegre",Brazil,https://www.record.com.br
92,Penguin Publishing Group,Academic Sales,+1-415-696-7669,sales@penguinrandomhouse.com,"460 76th Avenue, Publishing Center, Chicago, IL",United States,https://www.penguinrandomhouse.com
93,Penguin Audio,Sales Department,+1-201-629-2601,contact@penguinrandomhouse.com,"112 59th Avenue, Publishing Center, Boston, MA",United States,https://www.penguinrandomhouse.com
94,Goldmann,Editorial Department,+49-30-8218-704,editorial@penguin.de,"520 39th Avenue, Verlagshaus, Hamburg",Germany,https://www.penguin.de
95,Bonnier pocket,Sales Department,+46-8-905-2553,contact@bonnierbooks.com,"791 66th Avenue, Publishing Office, Gothenburg",Sweden,https://www.bonnierbooks.com
